# panoshader version 2
# Released on Oct 2003.
#remote hostname,remote ip:port,date,time
crawler11.googlebot.com,64.68.82.47:57918,25/7/2004,13:11:50
210-66-62-158.adsl.dynamic.seed.net.tw,210.66.62.158:2312,26/7/2004,10:16:17
crawler14.googlebot.com,64.68.82.185:44367,26/7/2004,13:05:18
crawler10.googlebot.com,64.68.82.27:55950,27/7/2004,8:06:46
crawler14.googlebot.com,64.68.82.167:47026,27/7/2004,13:49:49
crawler13.googlebot.com,64.68.82.143:45473,28/7/2004,12:07:01
crawler15.googlebot.com,64.68.82.201:50200,29/7/2004,17:22:01
crawler13.googlebot.com,64.68.82.146:60775,30/7/2004,15:34:15
s4.irc.ccu.edu.tw,140.123.103.2:3910,31/7/2004,2:42:53
crawler13.googlebot.com,64.68.82.146:39128,31/7/2004,12:41:11
msnbot64060.search.msn.com,65.54.164.60:4250,1/8/2004,6:01:55
crawler15.googlebot.com,64.68.82.201:41367,1/8/2004,13:01:18
,211.98.130.10:16612,2/8/2004,7:02:29
crawler14.googlebot.com,64.68.82.170:38450,2/8/2004,12:02:30
ics2o.polyu.edu.hk,158.132.12.72:54455,2/8/2004,22:02:26
,147.83.204.130:44776,2/8/2004,22:02:36
,65.54.188.82:45611,3/8/2004,9:03:51
crawler13.googlebot.com,64.68.82.143:63345,3/8/2004,12:03:56
,211.155.226.109:47909,4/8/2004,10:04:15
crawler10.googlebot.com,64.68.82.28:45679,4/8/2004,13:04:02
crawler14.googlebot.com,64.68.82.173:51533,5/8/2004,15:05:42
kailas.informatik.uni-bonn.de,131.220.3.169:2273,5/8/2004,20:05:07
crawler14.googlebot.com,64.68.82.170:54809,6/8/2004,13:06:51
crawler14.googlebot.com,64.68.82.167:54204,7/8/2004,12:07:35
crawler14.googlebot.com,64.68.82.184:60139,8/8/2004,13:08:04
crawler10.googlebot.com,64.68.82.14:47045,9/8/2004,12:09:10
dm5303.jaist.ac.jp,150.65.41.166:1258,10/8/2004,2:47:08
crawler14.googlebot.com,64.68.82.167:44565,10/8/2004,15:42:06
crawler14.googlebot.com,64.68.82.172:49630,11/8/2004,12:35:46
crawler10.googlebot.com,64.68.82.27:63789,11/8/2004,13:02:34
203-219-187-139-per-pow-ts3-2600.tpgi.com.au,203.219.187.139:3494,11/8/2004,14:39:44
crawler15.googlebot.com,64.68.82.197:65261,12/8/2004,14:20:38
crawl22-public.alexa.com,209.237.238.172:36513,12/8/2004,15:13:32
crawler14.googlebot.com,64.68.82.167:57868,13/8/2004,17:20:38
,65.54.188.100:20698,14/8/2004,1:52:47
,202.108.250.195:43307,15/8/2004,3:19:08
crawler14.googlebot.com,64.68.82.185:42495,15/8/2004,13:01:04
crawler10.googlebot.com,64.68.82.28:60971,16/8/2004,13:59:32
crawler10.googlebot.com,64.68.82.30:57323,17/8/2004,14:46:50
crawler15.googlebot.com,64.68.82.189:33911,18/8/2004,12:28:42
,65.54.188.100:47438,19/8/2004,5:49:45
crawler15.googlebot.com,64.68.82.201:37811,19/8/2004,12:20:39
crawler10.googlebot.com,64.68.82.30:46496,20/8/2004,14:19:22
crawler14.googlebot.com,64.68.82.182:37582,21/8/2004,13:41:27
crawler13.googlebot.com,64.68.82.146:41459,22/8/2004,13:35:18
wfp2.almaden.ibm.com,66.147.154.3:57967,23/8/2004,9:19:11
crawler14.googlebot.com,64.68.82.182:63184,23/8/2004,11:54:19
,65.54.188.99:49739,24/8/2004,8:01:32
crawler13.googlebot.com,64.68.82.143:51653,24/8/2004,12:59:22
crawler14.googlebot.com,64.68.82.174:50952,24/8/2004,20:53:52
crawler14.googlebot.com,64.68.82.182:44741,25/8/2004,14:05:19
pcd506089.netvigator.com,218.102.38.89:3078,25/8/2004,16:53:42
pc-guindy.ltsi.spm.univ-rennes1.fr,129.20.25.174:2104,25/8/2004,22:01:27
,202.108.250.195:58926,26/8/2004,8:29:57
crawler11.googlebot.com,64.68.82.47:41150,26/8/2004,12:49:36
crawler14.googlebot.com,64.68.82.169:36591,27/8/2004,14:54:56
crawler13.googlebot.com,64.68.82.146:54323,28/8/2004,16:34:55
,65.54.188.99:52880,29/8/2004,9:43:09
crawler14.googlebot.com,64.68.82.168:63500,29/8/2004,11:47:15
crawler14.googlebot.com,64.68.82.185:36684,30/8/2004,15:16:11
client-200.106.82.139.speedy.net.pe,200.106.82.139:1300,31/8/2004,3:52:28
client-200.106.82.139.speedy.net.pe,200.106.82.139:1302,31/8/2004,3:52:35
crawler10.googlebot.com,64.68.82.28:38329,31/8/2004,11:03:50
crawler14.googlebot.com,64.68.82.168:65458,1/9/2004,17:01:29
crawler11.googlebot.com,64.68.82.47:33754,2/9/2004,12:02:50
cs24360-79.austin.rr.com,24.243.60.79:1304,2/9/2004,13:02:52
crawler14.googlebot.com,64.68.82.173:46537,3/9/2004,15:03:09
crawler14.googlebot.com,64.68.82.170:54815,4/9/2004,14:04:06
,65.54.188.100:58001,4/9/2004,16:04:40
crawler14.googlebot.com,64.68.82.173:34673,5/9/2004,11:05:31
crawler13.googlebot.com,64.68.82.141:60071,6/9/2004,11:06:46
crawler15.googlebot.com,64.68.82.201:38663,7/9/2004,11:07:27
crawler11.googlebot.com,64.68.82.33:46579,7/9/2004,18:07:09
h236102.resnet.cuhk.edu.hk,137.189.236.102:1966,8/9/2004,1:08:57
crawler13.googlebot.com,64.68.82.141:44625,8/9/2004,13:08:02
h248082.resnet.cuhk.edu.hk,137.189.248.82:1487,8/9/2004,15:08:18
h248082.resnet.cuhk.edu.hk,137.189.248.82:1488,8/9/2004,15:08:19
,66.153.56.82:60196,9/9/2004,5:09:42
crawler13.googlebot.com,64.68.82.146:43040,9/9/2004,15:09:56
crawler15.googlebot.com,64.68.82.201:63072,10/9/2004,19:24:30
,65.54.188.93:15024,10/9/2004,22:25:22
crawler14.googlebot.com,64.68.82.184:41127,11/9/2004,11:51:19
crawler15.googlebot.com,64.68.82.197:43616,12/9/2004,12:19:08
crawler14.googlebot.com,64.68.82.172:41942,13/9/2004,12:28:52
crawler14.googlebot.com,64.68.82.184:47671,14/9/2004,12:33:33
h241063.resnet.cuhk.edu.hk,137.189.241.63:3398,15/9/2004,5:09:48
,66.249.64.30:60484,15/9/2004,13:56:55
,65.54.188.93:1099,16/9/2004,1:35:10
,66.249.64.182:42323,16/9/2004,13:24:23
,212.27.41.39:2059,16/9/2004,20:48:27
,66.249.64.169:54834,17/9/2004,14:28:00
,66.249.64.47:56988,18/9/2004,16:24:38
,66.249.64.201:63993,19/9/2004,18:59:51
pD95ED8FE.dip.t-dialin.net,217.94.216.254:63289,19/9/2004,19:24:06
,66.249.64.185:54674,20/9/2004,15:35:36
oberon.cs.cuhk.hk,137.189.91.204:44394,21/9/2004,15:19:15
,66.249.64.47:44545,21/9/2004,22:13:21
,65.54.188.93:16039,22/9/2004,1:12:12
h236139.resnet.cuhk.edu.hk,137.189.236.139:1926,22/9/2004,3:44:19
,65.54.188.93:42840,22/9/2004,5:04:50
,65.54.188.93:50910,22/9/2004,10:20:51
,66.249.64.141:57922,22/9/2004,16:05:48
,65.54.188.93:22367,22/9/2004,16:30:55
,65.54.188.93:12182,22/9/2004,20:58:18
,66.249.64.47:59433,23/9/2004,16:01:03
,66.249.64.182:42863,23/9/2004,16:30:29
,66.249.64.184:51521,23/9/2004,17:27:25
,65.54.188.93:44488,24/9/2004,17:51:34
,66.249.64.141:59026,24/9/2004,19:45:57
mallerenga.udg.es,130.206.119.231:1404,24/9/2004,23:22:03
,66.249.64.14:58055,25/9/2004,16:59:24
,66.249.64.197:59435,26/9/2004,16:40:04
,66.249.64.47:44838,27/9/2004,15:59:52
poliproxy.its.it,151.92.176.3:39179,27/9/2004,18:12:28
crawl-66-249-64-131.googlebot.com,66.249.64.131:57976,28/9/2004,11:40:22
crawl-66-249-64-138.googlebot.com,66.249.64.138:35323,28/9/2004,16:28:31
crawl-66-249-64-170.googlebot.com,66.249.64.170:63207,29/9/2004,14:13:21
crawl-66-249-64-198.googlebot.com,66.249.64.198:46912,30/9/2004,11:49:06
wfp2.almaden.ibm.com,66.147.154.3:55964,30/9/2004,23:09:14
crawl-66-249-64-168.googlebot.com,66.249.64.168:55128,1/10/2004,10:01:07
crawl-66-249-64-4.googlebot.com,66.249.64.4:49369,2/10/2004,10:02:51
crawl-66-249-64-198.googlebot.com,66.249.64.198:36722,3/10/2004,12:03:03
crawl-66-249-64-173.googlebot.com,66.249.64.173:47455,4/10/2004,13:04:26
,65.54.188.93:57437,4/10/2004,20:04:28
host190-178.pool8249.interbusiness.it,82.49.178.190:1595,5/10/2004,2:05:05
mcgw1.mc.tut.ac.jp,133.15.181.11:35927,5/10/2004,11:05:38
crawl-66-249-64-201.googlebot.com,66.249.64.201:59873,5/10/2004,13:05:00
oberon.cs.cuhk.hk,137.189.91.204:46998,5/10/2004,15:05:45
amur.cs.cuhk.hk,137.189.90.239:38690,5/10/2004,18:05:20
crawl-66-249-64-182.googlebot.com,66.249.64.182:38484,6/10/2004,12:06:01
oberon.cs.cuhk.hk,137.189.91.204:38702,6/10/2004,18:06:56
crawl-66-249-64-183.googlebot.com,66.249.64.183:38927,7/10/2004,16:07:17
crawl-66-249-64-173.googlebot.com,66.249.64.173:38917,8/10/2004,12:08:13
crawl-66-249-64-168.googlebot.com,66.249.64.168:61139,9/10/2004,14:09:27
crawl-66-249-64-38.googlebot.com,66.249.64.38:33657,10/10/2004,7:00:34
crawl-66-249-64-47.googlebot.com,66.249.64.47:62679,10/10/2004,12:03:40
crawl-66-249-64-138.googlebot.com,66.249.64.138:59501,11/10/2004,13:13:37
,65.54.188.93:45340,11/10/2004,23:13:26
crawl-66-249-64-14.googlebot.com,66.249.64.14:61454,12/10/2004,13:40:42
crawl-66-249-64-143.googlebot.com,66.249.64.143:58568,13/10/2004,11:20:22
crawl-66-249-64-39.googlebot.com,66.249.64.39:50511,15/10/2004,11:35:09
crawl-66-249-64-183.googlebot.com,66.249.64.183:34427,16/10/2004,13:23:02
,65.54.188.96:32423,17/10/2004,1:47:57
adsl-64-168-26-162.dsl.snfc21.pacbell.net,64.168.26.162:35299,17/10/2004,5:25:55
crawl-66-249-64-143.googlebot.com,66.249.64.143:37682,17/10/2004,12:58:17
egspd42419.teoma.com,65.214.36.49:37354,17/10/2004,14:24:04
s3.irc.ccu.edu.tw,140.123.103.245:2555,17/10/2004,16:55:27
,220.188.178.1:3737,17/10/2004,20:33:57
crawl-66-249-64-173.googlebot.com,66.249.64.173:41801,18/10/2004,13:06:55
214-44.84.64.master-link.com,64.84.44.214:1116,19/10/2004,1:45:52
ns100.oar.ipix.com,208.227.243.36:20839,19/10/2004,5:50:09
crawl-66-249-64-170.googlebot.com,66.249.64.170:53689,19/10/2004,13:50:57
crawl-66-249-64-141.googlebot.com,66.249.64.141:48320,20/10/2004,13:50:15
crawl-66-249-64-183.googlebot.com,66.249.64.183:38459,21/10/2004,13:31:31
crawl23-public.alexa.com,209.237.238.173:42420,21/10/2004,14:22:17
,159.226.5.188:1025,21/10/2004,16:28:57
,159.226.5.188:1026,21/10/2004,16:29:33
,159.226.5.188:1027,21/10/2004,16:29:42
,65.54.188.97:18951,22/10/2004,3:55:14
pcd264030.netvigator.com,203.218.54.30:1328,22/10/2004,11:49:41
adsl-64-165-200-29.dsl.snfc21.pacbell.net,64.165.200.29:32771,22/10/2004,12:37:18
adsl-2-77-78.mia.bellsouth.net,65.2.77.78:1212,22/10/2004,12:37:41
crawl-66-249-64-185.googlebot.com,66.249.64.185:44039,22/10/2004,13:42:52
crawl-66-249-64-168.googlebot.com,66.249.64.168:39395,23/10/2004,13:31:17
crawl-66-249-64-160.googlebot.com,66.249.64.160:48345,24/10/2004,19:53:21
crawl-66-249-64-201.googlebot.com,66.249.64.201:51299,24/10/2004,21:07:02
crawl-66-249-64-74.googlebot.com,66.249.64.74:61460,24/10/2004,22:54:25
crawl-66-249-64-28.googlebot.com,66.249.64.28:34319,25/10/2004,15:13:59
mok3.cictr.com,66.228.91.183:1302,25/10/2004,23:07:37
mok3.cictr.com,66.228.91.183:1302,25/10/2004,23:07:41
mok3.cictr.com,66.228.91.183:1304,25/10/2004,23:08:22
mok3.cictr.com,66.228.91.183:1304,25/10/2004,23:08:26
mok3.cictr.com,66.228.91.183:1304,25/10/2004,23:08:30
proxy1.fsksm.utm.my,161.139.66.1:46416,26/10/2004,13:32:25
crawl-66-249-64-14.googlebot.com,66.249.64.14:63586,26/10/2004,13:34:23
,222.65.108.15:1220,26/10/2004,22:16:20
crawl-66-249-64-169.googlebot.com,66.249.64.169:39464,27/10/2004,12:43:13
crawl-66-249-64-197.googlebot.com,66.249.64.197:58329,28/10/2004,12:27:51
wfp2.almaden.ibm.com,66.147.154.3:9759,28/10/2004,23:38:06
crawl-66-249-64-182.googlebot.com,66.249.64.182:53155,29/10/2004,12:27:13
,213.251.198.178:1980,30/10/2004,15:45:10
crawl-66-249-64-39.googlebot.com,66.249.64.39:39144,30/10/2004,15:59:18
adsl-210-144-21.sdf.bellsouth.net,68.210.144.21:50426,31/10/2004,5:14:37
crawl-66-249-64-185.googlebot.com,66.249.64.185:43033,31/10/2004,12:44:49
crawl-66-249-64-201.googlebot.com,66.249.64.201:33457,1/11/2004,13:01:45
crawl-66-249-64-198.googlebot.com,66.249.64.198:40484,2/11/2004,14:02:55
crawl-66-249-64-201.googlebot.com,66.249.64.201:34451,3/11/2004,13:03:20
,65.54.188.99:17061,3/11/2004,13:03:44
freebsd.first.fraunhofer.de,194.95.172.4:3854,3/11/2004,21:03:44
monkia3.cs.ccu.edu.tw,140.123.101.143:2310,4/11/2004,7:04:05
crawl-66-249-64-172.googlebot.com,66.249.64.172:59802,4/11/2004,14:04:07
crawl-66-249-64-172.googlebot.com,66.249.64.172:33498,5/11/2004,11:05:08
crawl-66-249-64-129.googlebot.com,66.249.64.129:56815,5/11/2004,21:05:16
crawl-66-249-64-183.googlebot.com,66.249.64.183:46521,6/11/2004,11:06:35
crawl-66-249-64-201.googlebot.com,66.249.64.201:56447,7/11/2004,16:07:34
crawl-66-249-64-13.googlebot.com,66.249.64.13:58523,8/11/2004,14:08:44
crawl-66-249-64-141.googlebot.com,66.249.64.141:63915,9/11/2004,16:09:47
cm61-10-118-82.hkcable.com.hk,61.10.118.82:3103,10/11/2004,10:37:21
crawl-66-249-64-30.googlebot.com,66.249.64.30:57787,10/11/2004,11:27:50
crawl-66-249-64-13.googlebot.com,66.249.64.13:51193,11/11/2004,11:21:19
crawl-66-249-64-189.googlebot.com,66.249.64.189:60716,12/11/2004,10:45:50
crawl-66-249-64-68.googlebot.com,66.249.64.68:37820,13/11/2004,11:30:36
,65.54.188.90:38003,13/11/2004,16:33:38
crawl-66-249-64-77.googlebot.com,66.249.64.77:36499,14/11/2004,10:41:57
adsl-18-115-82.sdf.bellsouth.net,68.18.115.82:50491,14/11/2004,11:34:21
adsl-18-115-82.sdf.bellsouth.net,68.18.115.82:50493,14/11/2004,11:34:41
crawl-66-249-64-50.googlebot.com,66.249.64.50:45919,15/11/2004,10:31:28
crawl-66-249-64-170.googlebot.com,66.249.64.170:37596,16/11/2004,12:11:42
pD95EDA10.dip.t-dialin.net,217.94.218.16:64281,16/11/2004,16:28:52
crawl-66-249-64-135.googlebot.com,66.249.64.135:50747,17/11/2004,12:24:13
crawl-66-249-64-33.googlebot.com,66.249.64.33:57939,17/11/2004,23:28:14
crawl-66-249-64-49.googlebot.com,66.249.64.49:34021,18/11/2004,11:51:09
crawl-66-249-64-184.googlebot.com,66.249.64.184:53293,19/11/2004,11:45:46
,65.54.188.91:49390,20/11/2004,0:38:39
crawl-66-249-64-15.googlebot.com,66.249.64.15:62056,20/11/2004,12:11:47
crawl-66-249-64-10.googlebot.com,66.249.64.10:57585,21/11/2004,12:05:53
crawl-66-249-64-6.googlebot.com,66.249.64.6:47436,22/11/2004,12:38:51
,202.120.18.140:2410,22/11/2004,23:41:26
crawl-66-249-64-50.googlebot.com,66.249.64.50:40491,23/11/2004,12:09:27
egspd42208.teoma.com,65.214.38.208:55741,24/11/2004,12:30:23
crawl-66-249-64-13.googlebot.com,66.249.64.13:48454,24/11/2004,12:43:56
crawl-66-249-64-47.googlebot.com,66.249.64.47:52542,25/11/2004,13:12:02
crawl-66-249-64-16.googlebot.com,66.249.64.16:62257,26/11/2004,12:20:48
crawl-66-249-64-49.googlebot.com,66.249.64.49:45753,27/11/2004,12:58:27
crawl-66-249-64-178.googlebot.com,66.249.64.178:51032,28/11/2004,13:51:31
p54856A1D.dip.t-dialin.net,84.133.106.29:1993,29/11/2004,2:08:55
crawl-66-249-64-168.googlebot.com,66.249.64.168:49793,29/11/2004,13:41:29
crawl-66-249-64-137.googlebot.com,66.249.64.137:40677,29/11/2004,13:44:47
crawl-66-249-64-156.googlebot.com,66.249.64.156:58108,29/11/2004,20:05:17
crawl-66-249-64-181.googlebot.com,66.249.64.181:56527,30/11/2004,12:43:44
174.163.broadband2.iol.cz,83.208.163.174:3233,1/12/2004,7:01:16
crawl-66-249-64-6.googlebot.com,66.249.64.6:65486,1/12/2004,13:01:31
crawl-66-249-64-36.googlebot.com,66.249.64.36:47475,2/12/2004,13:02:38
crawl-66-249-64-13.googlebot.com,66.249.64.13:48632,2/12/2004,13:02:41
crawl-66-249-64-27.googlebot.com,66.249.64.27:54976,3/12/2004,13:03:35
crawl-66-249-64-142.googlebot.com,66.249.64.142:51973,4/12/2004,14:04:18
,65.54.188.93:56239,5/12/2004,11:05:45
crawl-66-249-64-185.googlebot.com,66.249.64.185:33518,5/12/2004,15:05:56
px1nr.wp.shawcable.net,24.66.94.140:10230,6/12/2004,6:06:51
crawl-66-249-64-178.googlebot.com,66.249.64.178:54284,6/12/2004,13:06:19
crawl-66-249-64-16.googlebot.com,66.249.64.16:59310,7/12/2004,13:07:51
